Genotype	CD	Fix	pop$	FID$
Z001E0202	25.7042237826255	1	NAMRIL	Z001
Z001E0262	25.5235812773829	1	NAMRIL	Z001
Z001E0274	26.023581277384	1	NAMRIL	Z001
Z001E0279	27.5235812773842	1	NAMRIL	Z001
Z002E0001	28.6648730075503	1	NAMRIL	Z002
Z002E0002	26.7089400513746	1	NAMRIL	Z002
Z002E0003	24.3811045056201	1	NAMRIL	Z002
Z002E0004	25.6682393580125	1	NAMRIL	Z002
Z002E0005	26.9660965008681	1	NAMRIL	Z002
Z002E0006	24.6283543727816	1	NAMRIL	Z002
Z002E0007	27.1383150513741	1	NAMRIL	Z002
Z002E0008	29.6825250722997	1	NAMRIL	Z002
Z002E0009	25.6112980195677	1	NAMRIL	Z002
Z002E0010	31.7846679294418	1	NAMRIL	Z002
Z002E0011	27.4746679294423	1	NAMRIL	Z002
Z002E0012	27.8891877061162	1	NAMRIL	Z002
Z002E0013	28.6824332275539	1	NAMRIL	Z002
Z002E0014	23.7076900513752	1	NAMRIL	Z002
Z002E0015	22.9043096471369	1	NAMRIL	Z002
Z002E0016	23.9632450448077	1	NAMRIL	Z002
Z002E0017	30.7411341619446	1	NAMRIL	Z002
Z002E0018	22.0065783781412	1	NAMRIL	Z002
Z002E0019	30.6358150513761	1	NAMRIL	Z002
Z002E0020	27.4550303783268	1	NAMRIL	Z002
Z002E0021	28.2907450448098	1	NAMRIL	Z002
Z002E0022	27.4110537708404	1	NAMRIL	Z002
Z002E0023	28.9564674989089	1	NAMRIL	Z002
Z002E0024	26.5798490381164	1	NAMRIL	Z002
Z002E0025	29.7089536437276	1	NAMRIL	Z002
Z002E0026	27.8219958773716	1	NAMRIL	Z002
Z002E0027	28.1168187913363	1	NAMRIL	Z002
Z002E0028	27.2135953614214	1	NAMRIL	Z002
Z002E0029	28.3145650513756	1	NAMRIL	Z002
Z002E0030	27.8389536437274	1	NAMRIL	Z002
Z002E0031	24.2395650513736	1	NAMRIL	Z002
Z002E0032	34.4645482695276	1	NAMRIL	Z002
Z002E0033	29.1426900513774	1	NAMRIL	Z002
Z002E0034	30.4000239328551	1	NAMRIL	Z002
Z002E0035	26.9676900513738	1	NAMRIL	Z002
Z002E0036	29.6403902199076	1	NAMRIL	Z002
Z002E0037	26.9639536437252	1	NAMRIL	Z002
Z002E0038	27.3402204375079	1	NAMRIL	Z002
Z002E0039	23.6107546711303	1	NAMRIL	Z002
Z002E0040	29.1795650513742	1	NAMRIL	Z002
Z002E0041	27.5299117114765	1	NAMRIL	Z002
Z002E0042	27.9164400513735	1	NAMRIL	Z002
Z002E0043	31.993634027607	1	NAMRIL	Z002
Z002E0044	29.3590450248228	1	NAMRIL	Z002
Z002E0045	30.5595482695374	1	NAMRIL	Z002
Z002E0046	26.1676900513746	1	NAMRIL	Z002
Z002E0047	25.6793096471367	1	NAMRIL	Z002
Z002E0048	28.3875250722968	1	NAMRIL	Z002
Z002E0049	28.9932450448087	1	NAMRIL	Z002
Z002E0050	28.1975250722957	1	NAMRIL	Z002
Z002E0051	30.0564525042786	1	NAMRIL	Z002
Z002E0052	25.8875649773708	1	NAMRIL	Z002
Z002E0053	30.9707450448104	1	NAMRIL	Z002
Z002E0054	24.3537697100939	1	NAMRIL	Z002
Z002E0055	25.7008543727809	1	NAMRIL	Z002
Z002E0056	27.3750239328503	1	NAMRIL	Z002
Z002E0057	30.2140157047836	1	NAMRIL	Z002
Z002E0058	26.3653069478171	1	NAMRIL	Z002
Z002E0059	29.5110537708426	1	NAMRIL	Z002
Z002E0060	24.7739956136786	1	NAMRIL	Z002
Z002E0061	28.4268871041735	1	NAMRIL	Z002
Z002E0062	27.1714400513757	1	NAMRIL	Z002
Z002E0063	29.2965783781421	1	NAMRIL	Z002
Z002E0064	27.2434244488007	1	NAMRIL	Z002
Z002E0065	27.1991387345145	1	NAMRIL	Z002
Z002E0066	29.4668871041723	1	NAMRIL	Z002
Z002E0067	25.2943089918586	1	NAMRIL	Z002
Z002E0068	28.4782393580124	1	NAMRIL	Z002
Z002E0069	26.8894992863878	1	NAMRIL	Z002
Z002E0070	31.5557546711268	1	NAMRIL	Z002
Z002E0071	30.8412697100952	1	NAMRIL	Z002
Z002E0072	26.3089536437279	1	NAMRIL	Z002
Z002E0073	24.3858150513728	1	NAMRIL	Z002
Z002E0074	30.0621667899928	1	NAMRIL	Z002
Z002E0075	26.5646234775613	1	NAMRIL	Z002
Z002E0076	29.1525250722967	1	NAMRIL	Z002
Z002E0077	26.070567305944	1	NAMRIL	Z002
Z002E0078	26.1713920296039	1	NAMRIL	Z002
Z002E0079	23.8360965008689	1	NAMRIL	Z002
Z002E0080	30.7710965008703	1	NAMRIL	Z002
Z002E0081	29.0210965008691	1	NAMRIL	Z002
Z002E0082	24.6068107865831	1	NAMRIL	Z002
Z002E0083	26.8018107865839	1	NAMRIL	Z002
Z002E0084	29.5446679294417	1	NAMRIL	Z002
Z002E0085	27.48109650087	1	NAMRIL	Z002
Z002E0086	27.9453822151563	1	NAMRIL	Z002
Z002E0087	26.0239536437259	1	NAMRIL	Z002
Z002E0088	27.299565051372	1	NAMRIL	Z002
Z002E0089	29.8699817176258	1	NAMRIL	Z002
Z002E0090	25.5339536437273	1	NAMRIL	Z002
Z002E0091	26.349565051376	1	NAMRIL	Z002
Z002E0092	27.8034244488	1	NAMRIL	Z002
Z002E0093	27.4885953614218	1	NAMRIL	Z002
Z002E0094	25.5764525042801	1	NAMRIL	Z002
Z002E0095	27.7620650513743	1	NAMRIL	Z002
Z002E0096	25.127690051375	1	NAMRIL	Z002
Z002E0097	28.8282674730084	1	NAMRIL	Z002
Z002E0098	29.1365783781417	1	NAMRIL	Z002
Z002E0099	26.7775277454121	1	NAMRIL	Z002
Z002E0100	30.25855377084	1	NAMRIL	Z002
Z002E0101	27.9883150513754	1	NAMRIL	Z002
Z002E0102	26.9514525042806	1	NAMRIL	Z002
Z002E0103	26.5585631097183	1	NAMRIL	Z002
Z002E0104	25.3325250722994	1	NAMRIL	Z002
Z002E0105	25.891578378141	1	NAMRIL	Z002
Z002E0106	25.7234013764064	1	NAMRIL	Z002
Z002E0107	26.0703822151549	1	NAMRIL	Z002
Z002E0108	27.2467943173937	1	NAMRIL	Z002
Z002E0109	24.8829363767615	1	NAMRIL	Z002
Z002E0110	26.0218871041752	1	NAMRIL	Z002
Z002E0111	28.1127204375071	1	NAMRIL	Z002
Z002E0112	26.8327101630869	1	NAMRIL	Z002
Z002E0113	26.007690051375	1	NAMRIL	Z002
Z002E0114	29.3639536437269	1	NAMRIL	Z002
Z002E0115	28.3383307391088	1	NAMRIL	Z002
Z002E0116	27.3487812686708	1	NAMRIL	Z002
Z002E0117	27.7764525042807	1	NAMRIL	Z002
Z002E0118	30.6111341619476	1	NAMRIL	Z002
Z002E0119	26.4895482695323	1	NAMRIL	Z002
Z002E0120	28.0977204375078	1	NAMRIL	Z002
Z002E0121	28.1164400513746	1	NAMRIL	Z002
Z002E0122	28.7332393580126	1	NAMRIL	Z002
Z002E0123	24.0105067506786	1	NAMRIL	Z002
Z002E0124	28.8910965008704	1	NAMRIL	Z002
Z002E0125	27.264565051375	1	NAMRIL	Z002
Z002E0126	29.4779347005005	1	NAMRIL	Z002
Z002E0127	28.7085631097182	1	NAMRIL	Z002
Z002E0128	28.7158150513773	1	NAMRIL	Z002
Z002E0129	30.8614400513738	1	NAMRIL	Z002
Z002E0130	27.0632036175883	1	NAMRIL	Z002
Z002E0131	28.0389400513752	1	NAMRIL	Z002
Z002E0132	29.0370650513757	1	NAMRIL	Z002
Z002E0133	27.9710965008705	1	NAMRIL	Z002
Z002E0134	27.3358150513746	1	NAMRIL	Z002
Z002E0135	26.2395650513744	1	NAMRIL	Z002
Z002E0136	27.9831410120117	1	NAMRIL	Z002
Z002E0137	29.6777204375111	1	NAMRIL	Z002
Z002E0138	27.4258150513735	1	NAMRIL	Z002
Z002E0139	28.7861341619433	1	NAMRIL	Z002
Z002E0140	24.2698530202292	1	NAMRIL	Z002
Z002E0141	29.707525072297	1	NAMRIL	Z002
Z002E0142	28.6682393580116	1	NAMRIL	Z002
Z002E0143	31.8760965008739	1	NAMRIL	Z002
Z002E0144	27.2989536437273	1	NAMRIL	Z002
Z002E0145	27.3485953614209	1	NAMRIL	Z002
Z002E0146	31.5052204375102	1	NAMRIL	Z002
Z002E0147	28.0951900513731	1	NAMRIL	Z002
Z002E0148	22.064667929441	1	NAMRIL	Z002
Z002E0149	28.7714400513753	1	NAMRIL	Z002
Z002E0150	26.5591777982916	1	NAMRIL	Z002
Z002E0151	23.3281477724063	1	NAMRIL	Z002
Z002E0152	25.8834901689829	1	NAMRIL	Z002
Z002E0153	29.092384199892	1	NAMRIL	Z002
Z002E0154	27.6208150513747	1	NAMRIL	Z002
Z002E0155	30.0860537708413	1	NAMRIL	Z002
Z002E0156	28.4291437103613	1	NAMRIL	Z002
Z002E0157	28.1227101630853	1	NAMRIL	Z002
Z002E0158	28.6319958773726	1	NAMRIL	Z002
Z002E0159	25.0064866018857	1	NAMRIL	Z002
Z002E0160	30.6478270487885	1	NAMRIL	Z002
Z002E0161	29.9926234775641	1	NAMRIL	Z002
Z002E0162	25.8521030434277	1	NAMRIL	Z002
Z002E0163	27.8261672680206	1	NAMRIL	Z002
Z002E0164	25.8896679294415	1	NAMRIL	Z002
Z002E0165	28.6431823714506	1	NAMRIL	Z002
Z002E0166	27.6143089918637	1	NAMRIL	Z002
Z002E0167	27.1568871041749	1	NAMRIL	Z002
Z002E0168	28.2082393580134	1	NAMRIL	Z002
Z002E0169	29.0875210394477	1	NAMRIL	Z002
Z002E0170	28.3626164533931	1	NAMRIL	Z002
Z002E0171	30.1462815916573	1	NAMRIL	Z002
Z002E0172	29.5257382185653	1	NAMRIL	Z002
Z002E0173	29.2811603821226	1	NAMRIL	Z002
Z002E0174	27.8095067506805	1	NAMRIL	Z002
Z002E0175	29.023658490544	1	NAMRIL	Z002
Z002E0176	22.0926900513748	1	NAMRIL	Z002
Z002E0177	28.7639913048024	1	NAMRIL	Z002
Z002E0178	25.8758150513744	1	NAMRIL	Z002
Z002E0179	25.1815067506789	1	NAMRIL	Z002
Z002E0180	27.7958150513748	1	NAMRIL	Z002
Z002E0181	28.0182393580129	1	NAMRIL	Z002
Z002E0182	29.5803069478194	1	NAMRIL	Z002
Z002E0183	27.0046679294405	1	NAMRIL	Z002
Z002E0184	24.7058150513743	1	NAMRIL	Z002
Z002E0185	29.5102204375066	1	NAMRIL	Z002
Z002E0186	25.3418107865847	1	NAMRIL	Z002
Z002E0187	27.6333235026099	1	NAMRIL	Z002
Z002E0188	25.4710537708412	1	NAMRIL	Z002
Z002E0189	30.1011878819649	1	NAMRIL	Z002
Z002E0190	26.9843871041731	1	NAMRIL	Z002
Z002E0191	29.3608150513749	1	NAMRIL	Z002
Z002E0192	25.9651276507283	1	NAMRIL	Z002
Z002E0193	27.7042309500119	1	NAMRIL	Z002
Z002E0194	26.6358150513736	1	NAMRIL	Z002
Z002E0195	28.5010537708392	1	NAMRIL	Z002
Z002E0196	28.5610965008698	1	NAMRIL	Z002
Z002E0197	24.7959777202176	1	NAMRIL	Z002
Z002E0198	29.8326900513748	1	NAMRIL	Z002
Z002E0199	25.1560965008687	1	NAMRIL	Z002
Z002E0200	23.1305673059462	1	NAMRIL	Z002
Z002E0201	30.4844468376242	1	NAMRIL	Z002
Z002E0202	27.5192626526255	1	NAMRIL	Z002
Z002E0207	25.5235812773837	1	NAMRIL	Z002
Z002E0217	23.0235812773824	1	NAMRIL	Z002
Z002E0271	29.0235812773821	1	NAMRIL	Z002
Z003E0001	30.9875620278815	1	NAMRIL	Z003
Z003E0002	27.8085953614224	1	NAMRIL	Z003
Z003E0003	27.2167546711316	1	NAMRIL	Z003
Z003E0004	26.9846679294407	1	NAMRIL	Z003
Z003E0005	28.053953643726	1	NAMRIL	Z003
Z003E0006	25.5883983107018	1	NAMRIL	Z003
Z003E0007	29.8013841998897	1	NAMRIL	Z003
Z003E0008	26.7822724501464	1	NAMRIL	Z003
Z003E0009	27.8473089918628	1	NAMRIL	Z003
Z003E0010	29.9756477724057	1	NAMRIL	Z003
Z003E0011	28.2737697100951	1	NAMRIL	Z003
Z003E0012	28.4185953614227	1	NAMRIL	Z003
Z003E0013	31.6733064728116	1	NAMRIL	Z003
Z003E0014	26.2450239328503	1	NAMRIL	Z003
Z003E0015	24.8117943173959	1	NAMRIL	Z003
Z003E0016	22.5363127342233	1	NAMRIL	Z003
Z003E0017	27.4631823714493	1	NAMRIL	Z003
Z003E0018	30.4158637116595	1	NAMRIL	Z003
Z003E0019	29.8348490381158	1	NAMRIL	Z003
Z003E0020	29.7677101630868	1	NAMRIL	Z003
Z003E0021	28.3575480195693	1	NAMRIL	Z003
Z003E0022	29.94819720647	1	NAMRIL	Z003
Z003E0023	26.0368073966361	1	NAMRIL	Z003
Z003E0024	26.4335977087624	1	NAMRIL	Z003
Z003E0025	25.2013089918622	1	NAMRIL	Z003
Z003E0026	28.9805250299536	1	NAMRIL	Z003
Z003E0027	25.9293841998927	1	NAMRIL	Z003
Z003E0028	24.4065482695332	1	NAMRIL	Z003
Z003E0029	30.2193777929846	1	NAMRIL	Z003
Z003E0030	23.5662980195666	1	NAMRIL	Z003
Z003E0031	28.4796030434297	1	NAMRIL	Z003
Z003E0032	25.8388073966362	1	NAMRIL	Z003
Z003E0033	26.1783543727788	1	NAMRIL	Z003
Z003E0034	26.019996121001	1	NAMRIL	Z003
Z003E0035	26.0723089918646	1	NAMRIL	Z003
Z003E0036	28.3806823714493	1	NAMRIL	Z003
Z003E0037	29.2417316440346	1	NAMRIL	Z003
Z003E0038	25.9224556493965	1	NAMRIL	Z003
Z003E0039	25.2618073966368	1	NAMRIL	Z003
Z003E0040	27.5158073966349	1	NAMRIL	Z003
Z003E0041	26.6027546711313	1	NAMRIL	Z003
Z003E0042	26.3537980195669	1	NAMRIL	Z003
Z003E0043	27.9381836168128	1	NAMRIL	Z003
Z003E0044	29.429765877781	1	NAMRIL	Z003
Z003E0045	27.6305673059446	1	NAMRIL	Z003
Z003E0046	28.6856823714495	1	NAMRIL	Z003
Z003E0047	26.760580641772	1	NAMRIL	Z003
Z003E0048	24.4488073966364	1	NAMRIL	Z003
Z003E0049	26.6123289470129	1	NAMRIL	Z003
Z003E0050	28.1558983107013	1	NAMRIL	Z003
Z003E0051	30.2002204375046	1	NAMRIL	Z003
Z003E0052	30.1345849305219	1	NAMRIL	Z003
Z003E0053	27.0533089918618	1	NAMRIL	Z003
Z003E0054	28.7488073966345	1	NAMRIL	Z003
Z003E0055	28.114754671128	1	NAMRIL	Z003
Z003E0056	25.4053089918621	1	NAMRIL	Z003
Z003E0057	29.8524428952577	1	NAMRIL	Z003
Z003E0058	23.3833150513731	1	NAMRIL	Z003
Z003E0059	26.0663920296048	1	NAMRIL	Z003
Z003E0060	27.7515157047837	1	NAMRIL	Z003
Z003E0061	26.1271667899952	1	NAMRIL	Z003
Z003E0062	23.7338073966347	1	NAMRIL	Z003
Z003E0063	25.2657546711315	1	NAMRIL	Z003
Z003E0064	27.640898310704	1	NAMRIL	Z003
Z003E0065	28.7143089918633	1	NAMRIL	Z003
Z003E0066	28.6121777982933	1	NAMRIL	Z003
Z003E0067	32.6111341619462	1	NAMRIL	Z003
Z003E0068	26.1531823714487	1	NAMRIL	Z003
Z003E0069	26.339649296858	1	NAMRIL	Z003
Z003E0070	32.1098502834729	1	NAMRIL	Z003
Z003E0071	31.8763037277079	1	NAMRIL	Z003
Z003E0072	22.5231777982947	1	NAMRIL	Z003
Z003E0073	28.0846679294413	1	NAMRIL	Z003
Z003E0074	24.5157546711301	1	NAMRIL	Z003
Z003E0075	26.8437697100953	1	NAMRIL	Z003
Z003E0076	29.1349060251528	1	NAMRIL	Z003
Z003E0077	25.9309934354408	1	NAMRIL	Z003
Z003E0078	28.8134244488001	1	NAMRIL	Z003
Z003E0079	28.8908983107048	1	NAMRIL	Z003
Z003E0080	23.249231644037	1	NAMRIL	Z003
Z003E0081	27.9658073966373	1	NAMRIL	Z003
Z003E0082	27.5123089918601	1	NAMRIL	Z003
Z003E0083	33.073788506748	1	NAMRIL	Z003
Z003E0084	25.0570896084692	1	NAMRIL	Z003
Z003E0085	24.4923089918617	1	NAMRIL	Z003
Z003E0086	26.246939021913	1	NAMRIL	Z003
Z003E0087	24.7493089918615	1	NAMRIL	Z003
Z003E0088	23.2703411929272	1	NAMRIL	Z003
Z003E0089	29.653543806508	1	NAMRIL	Z003
